1	0	1	1	4	0	-1	1	1	comments2008c.vrt 2145269	- Tervetuloa skotlantiin...
0	1	0	0	4	0	-1	12	1	comments2011c.vrt 3247745	...... No, oikein sopiva sattumaha se vaan oli, vai mitä?
0	0	0	0	3	0	-1	14	1	comments2007c.vrt 3792960	40.
1	1	1	1	5	0	1	7	1	comments2010d.vrt 2351708	Kyseessä voi olla loppuelämäsi nainen.
1	1	1	1	5	0	1	12	1	comments2007d.vrt 1701675	Sinne vaan ocean clubiin iskemään!
1	1	1	1	5	0	0	16	1	comments2010c.vrt 600831	Itsekin pidän Keskustan kampanjointia ihan hyvänä.
0	0	0	0	3	1	1	4	1	threads2011b.vrt 2243469	Kamppi, Kontula, Kluuvi
-1	0	0	0	2	0	-1	13	1	comments2012b.vrt 3585792	huomista päivää odotellen..
-1	-1	-1	-1	1	0	1	5	1	comments2005c.vrt 4180985	en haluaisi että kissani vuotaa.. =)
-1	-1	-1	-1	1	0	0	18	1	comments2007e.vrt 733041	Nyt olisi lääkitys paikallaan.
0	0	0	0	3	0	0	10	1	threads2013a.vrt 437490	Ihmiset joutuvat joskus monenlaisien päätelmien kohteeksi.
-1	-1	-1	-1	1	0	-1	13	1	comments2005d.vrt 4042391	Eniten pelkään sitä, että jos mies vain koko ajan siirtää perheenperustamista vuosilla eteenpäin, kunnes emme enää saakkaan lapsia..tiedä häntä.
1	1	1	1	5	0	0	15	1	comments2008a.vrt 861393	Muutenkin suosittelen kaikille asiasta kiinnostuneille tuota Mark "Gravy" Robertsin mainiota paperia.
0	0	0	0	3	0	0	18	1	comments2011d.vrt 202835	"Koska naiset yleensä arvostavat miehessä eniten itsevarmuutta ja ujo mies saattaa helposti antaa itsestään epävarman vaikutelman vaikka ei sitä olisikaan.
-1	-1	-1	-1	1	0	1	1	1	comments2016e.vrt 3255363	Työstä kuuluu maksaa palkkaa vai meinaatko että palkkatyöläiset menisivät 9eurolla hommiin ja maksaisivat sillä laskunsa.Ei hyvää päivää mihin maamme on vajonnut ja hallitus ajaa tälläistä politiikkaa.
-1	-1	0	-1	2	1	0	3	1	comments2010c.vrt 2040506	"Vastahan sinä myönsit, ettei tuolla ominaisuuden hyödyllisyydellä - eikä siten vahingollisuudella - ole mitään tekemistä asian kanssa!
-1	-1	1	-1	2	0	1	11	1	comments2014e.vrt 93112	Teillähän asenne on kohdallaan!
1	-1	1	1	4	1	1	9	1	comments2009b.vrt 3033853	Ja kun vielä nuukan puoleinenkin on, mikäs sen lepposampaa elää hänen vierellään
0	0	0	0	3	-1	-1	20	1	comments2010e.vrt 3082969	Jos taas mielestäsi maailmassa on jokin pielessä ja haluat muutosta, osoita tukesi niin liity mukaan muuttamaan maailmaa.
-1	-1	-1	-1	1	-1	-1	4	1	threads2009a.vrt 3177423	Tuntuu kuin olisin pelkkä huora.
0	0	0	0	3	0	-1	11	1	comments2015b.vrt 2019057	Miten on Turun-lentojen laits?
1	1	1	1	5	-1	0	17	1	comments2008f.vrt 345027	Tottakai myös ylpeä "tulevasta" vaimostani.
-1	0	-1	-1	2	1	-1	14	1	comments2007f.vrt 2408038	"en kertonut, koska oisit vaan suuttunut."
0	0	0	0	3	1	1	13	1	comments2009a.vrt 2272224	Tämähän ei maksa kaupungille mitään, mutta operaatio säilyttäisi kasarmin.
-1	-1	-1	-1	1	-1	1	9	1	comments2010d.vrt 1131804	Missä kohtaa olen sinua nimitellyt?
1	1	1	1	5	0	-1	18	1	threads2007b.vrt 1541060	Suuret kiitokset tämän mahtavan tapahtuman järjestäjille!
0	0	0	0	3	0	1	18	1	comments2005e.vrt 798551	on vapaaehtoista käyttääkö uikkareita vai ei
0	0	0	0	3	-1	-1	15	1	threads2007b.vrt 597155	Tuolloin 6-10 suden *lauma* liikuskeli Oriveden lähikunnissa.
0	0	0	0	3	0	-1	17	1	comments2006b.vrt 3934848	Tai voit vaikka katella leffoja makuuni.fi sivuilta jos vaikka löytyis joku hyvä leffa minkä vois vuokrata / hankkia.
0	0	0	0	3	-1	-1	20	1	threads2013a.vrt 708407	Missä sitä kouluttautuis ja mitä sitä tekisi.
1	0	0	0	4	0	-1	5	1	threads2003a.vrt 760658	Kuka "korkkaisi" minut?
1	1	1	1	5	0	-1	7	1	threads2005a.vrt 5724412	Mulla on lapsi jota rakastan enemmän kuin mitään muuta.
-1	0	0	0	2	0	-1	15	1	threads2009b.vrt 2951880	Onko joku tehnyt tälläisen tempun?
-1	-1	-1	-1	1	1	-1	1	1	comments2017e.vrt 58356	Sateenkaariväki kuvittelee, että kaksi "isää" ei voi korvata äitiä, eikä kaksi "äitiä" voi korvata isää.
-1	0	0	0	2	1	-1	12	1	comments2010a.vrt 2790074	Ja toisena on se vaativampi, pitää ymmärtää luettu.
-1	-1	-1	-1	1	0	-1	3	1	threads2009b.vrt 5108023	Mikä Hämeenlinnalaisia vaivaa..
-1	-1	-1	-1	1	0	1	6	1	comments2013c.vrt 2344676	Ylinopeus ja humala eivät aina tapa.....SYYLLISIÄ mutta.......SYYTTÖMIÄ kyllä!!
-1	-1	-1	-1	1	1	-1	19	1	comments2012b.vrt 883194	Vihreä puolue ei ole edustanut vihreitä arvoja enää ainakaan puoleen vuosikymmeneen.
0	0	0	0	3	0	-1	12	1	comments2017e.vrt 871269	Lauseen avulla voidaan siis laskea suorakulmaisen kolmion tuntemattoman sivun pituus, jos muiden sivujen pituudet tunnetaan.
0	0	0	0	3	1	-1	13	1	threads2009a.vrt 2865018	Onkohan Zeppeliinissä xl-myymälää?
0	0	0	0	3	-1	-1	18	1	comments2010b.vrt 2588922	Mä olin mun exän kanssa 3kk ennenkuin seksi tuli kuvioihin ja yhdessä oltiin 12v.
-1	-1	-1	-1	1	0	1	1	1	comments2005a.vrt 889180	se pisti miettii että MITÄ V....A
0	-1	0	0	2	0	1	4	1	comments2005d.vrt 2208061	Tosimiesten, ja toiminnan miesten, palsta...
0	0	0	0	3	0	1	15	1	comments2008a.vrt 2902840	Esimerkkinä mainittakoon kolmio.
-1	-1	1	-1	2	-1	-1	11	1	comments2003a.vrt 1940329	Anna poju mielikuvituksen lentää.
0	0	0	0	3	0	1	4	1	comments2010c.vrt 277191	viime yönä ties?
-1	-1	-1	-1	1	0	-1	10	1	comments2010b.vrt 3495922	Mutta ei ole vielä onnistunut perhe....
0	0	0	0	3	0	1	12	1	comments2006d.vrt 3961312	T
1	1	1	1	5	0	-1	9	1	comments2008g.vrt 100805	Hyvää joulua sulle myös!
1	0	1	1	4	0	-1	3	1	comments2005a.vrt 2466312	4.kuka on söpöin poika saku,kalle,?
0	0	0	0	3	0	-1	15	1	comments2011c.vrt 3213892	Toki sitä ennenkin voit kevyesti harjoitella:
0	0	-1	0	2	0	0	5	1	threads2005a.vrt 3094043	92.Minkälaisia ihmisiä et voi sietää?
0	0	0	0	3	0	0	14	1	comments2015c.vrt 2786128	Eilen Dr Phil -ohjelmassa nainen halusi niin kovasi poikaa, että panetti isällä tytärtään.
0	0	0	0	3	0	-1	9	1	threads2017b.vrt 634516	Mutta miten?
0	0	0	0	3	0	-1	7	1	comments2010e.vrt 3711120	No,paino ei ole noussut..pysyy oikeissa lukemissa..mutta pakko jatkaa,koska nousee nopeasti takasin,ei se ole vakiintunut..uskoisin niin..
0	0	0	0	3	0	1	20	1	comments2014c.vrt 2128023	ite oon 11 ja 162cm.
0	0	0	0	3	1	0	11	1	comments2008f.vrt 1883381	Taidan sit tosiaan laittaa vasemmalle puolelle, toi hankaamisjuttu ei muuten tullu mulle edes mieleenkään!
-1	0	-1	-1	2	1	0	8	1	comments2008f.vrt 452722	osakkeenomistajat saavat osinkoa ja niiden pillin mukaan mennään.
-1	-1	-1	-1	1	0	1	4	1	comments2010b.vrt 3580442	sinua vituttaa kun et syntynyt naiseksi :)))
-1	0	-1	-1	2	0	-1	9	1	comments2007b.vrt 3933525	Ja muut tavat ovat vääriä.
0	0	-1	0	2	1	-1	10	1	comments2016d.vrt 2402839	Vanha malli jo.
0	0	0	0	3	1	1	18	1	threads2009a.vrt 546397	Kaikki huomioidaan
0	0	-1	0	2	0	-1	7	1	threads2011b.vrt 1434143	Tällä hetkelölä kipu ei enää ole yksin ylävartalossa, olkapää,rintaranka...vaan jäykkyys ja kipu tuntuu jo alaselässä saakka.
0	0	0	0	3	1	-1	2	1	comments2006a.vrt 1689037	Huh!
