2014-09-30 10:14:44	negative	jenskihl	.@Journalistlag gjer eit stort og viktig arbeid, men dei burde ikkje ha reist til Sicilia, skriv eg hos @journalisten.http://t.co/vVOQ41JIkw
2014-09-30 10:14:43	positive	DaniaMnts	Deilig høstvær og sola skinner! Føler for å gå til jobb i dag med @lisingsbarnet og @sigridbondetusvik på øra! Ly... http://t.co/anFnbbq3Iz
2014-09-30 10:14:43	positive	nicecap	har nå lest gjennom både folkeretten i sin helhet og alt Peter Handke har skrevet 10 ganger. Konklusjon: Handke skriver best!
2014-09-30 09:55:47	negative	SMKjernlie	Du er stygg og ekkel, slutt å plage vennene mine.
2014-09-30 09:55:45	positive	Hjertegodnytt	Skap gode dager, glade dager og gode minner for alle mennesker. Livet er her og nå. #DUErGodNok #StoppMobbing #DetErLovåBrySeg
2014-09-30 09:55:33	neutral	Mr_Sorhoy	@konservativ Du bør forklare velgerne hvorfor mange av våre dyktigste lærere slutter i yrket og hvordan #lærerløftet skal stoppe flukten.
2014-09-30 09:55:16	neutral	CHagevold	@CHagevold Men jeg skal selv om jeg ikke orker. Og jeg skal til og med prøve å lese det som om det ikke kom fra Høyre.
2014-09-30 09:55:14	negative	eemilieeh	@Oddi70 @SiriSukkertopp @silwil Bæsjebleier og spy er heller ikke greit.
2014-09-30 09:55:12	neutral	trutveit	Stille før medlemsmøte i region vest av norsk Arkivråd : digital kommunikasjon, løsninger og utfordringer http://t.co/8ylWCoKGKr
2014-09-30 09:55:11	neutral	lusapagangen	Oljen, en velsignelse og hodepine for @NTNU.@GunnarBovim om oljens plass på @NTNU; http://t.co/C6RoMoqY7S
2014-09-30 09:55:01	neutral	Holten	@dflukey Ikkje om kystbyar. Men det er på sin plass vdr. mjøsbyar og andre plassar oppi dalom slik. BTW http://t.co/et6fcY3o22 @HiGjovik
2014-09-30 09:54:56	neutral	spekkhookeren	@bergensbolla kan ta første buss til byn imorgen og møte deg
2014-09-30 09:54:35	neutral	ykristine	Saken burde bli behandlet på nytt for barna. Hun er vokst opp i norge, og er norsk. http://t.co/QCMhY26TVg  #vg #une #innvandring
2014-09-30 09:54:28	negative	Entrak	Ikke bare fylle, @12Bly.  @postennorge stapper postkassa så full at den buler. Bokstavelig talt. Gøy når det regner og lokket ikke lukkes.
2014-09-30 09:54:25	neutral	HelseVest	Beslutningsforum for nye metodar seier ja til to nye legemiddel og ei ny retningslinje. http://t.co/9wzJIafTh5 og http://t.co/lDLxtTVXdH
2014-09-30 09:54:25	neutral	dekvaerhellen	@franklidahl   Antar det blir hvit skjorte og slips til dressen! #gratulerer
2014-09-30 09:54:20	neutral	EBlixB	@UiTromso og bedriftene #ARENA #lønnsommevinteropplevelser diskuterer muligheter @borreberglund @forskningsradet @InnovasjonNorge @siva_sf
2014-09-30 09:54:00	positive	frujacobsenno	Kommende interiør arkitekt? Det beste som finnes å leke med er mammas lys og telysholdere 😍😘… http://t.co/baiQ83mGk8
2014-09-30 09:53:46	neutral	TronsmoBok	Og forresten, vi er en av de få, om ikke eneste, som fortsatt har førsteopplaget av denne!... http://t.co/qHp7ca2xQ3
2014-09-30 09:53:40	negative	jcelden	@ubnah @voxpopulinor @sponsorconsult Ta en meningsmåling eller to så er det nok avgjort. Legg ned Storting og Bystyre.
2014-09-30 09:53:27	neutral	fenilsen	@dflukey På fylla og på jordet og sånn? @Holten @HiGjovik
2014-09-30 09:53:16	neutral	1001ptsNO	Ulvejakt i aust og vest (fvn.no) http://t.co/MnQSNHusls
