1,. . . Naručeno:ZAGREBAČKI ODREZAK ( PORCIJA ) pommes / mexička riža
0,"Rečeno vrijeme dostave je bilo pola sata , no nakon više od sat vremena dostava nije došla . Nazvao i rekli da nisu vidjeli moju narudžbu i da će doći za pola sata . Bio sam primoran otkazati narudžbu jer nisam imao više vremena čekati ."
1,"danas je meni 4 bio na redu : proljetne roladice ( 2 kom ) , kiselo slatki umak - 8 blaga i patka s rižom ( ljuto ) , odlično jelo ! i stvarno je ljuto ( napokon ) . velika porcija , dostava na vrijeme ! za sada najbolja kineska dostava !"
0,"Stigla prije 10min , stvarno ste bili brzi , ali zadnji put , prema nama !"
0,Greške s krivo isporučenim narudžbama se ne bi smijele događati .
1,"Pljeskavice ukusne , porcija mala - taman , velika isto tako.Mala zamjerka osoblju : obratite pažnju na napomene uz narudžbe , naručili bez ajvara i luka , a pljeskavice zaljepljene uz ajvar.Dostava brza ."
1,"Doslo je na vrijeme i toplo , ali pizza zna biti i bolja ."
1,"odlično , 10 min ranije stigli , hrana super : )"
1,"Odlična pizza ! Prije navedenog vremena , simpa dostavljač ."
1,"Pizza izvrsna , dostavljač izrazito ljubazan , dostava na vrijeme ."
1,sve naručeno je savršeno . . . jedina zamjerka je rad do 22 : 00 : )
1,"Uvijek na vrijeme , svaka čast ! lazanje ok , ali pizza vrhunska !"
0,puno previse kurkume na rizi : (
1,* * *
1,"hej ! di je moje šesto krilo ? opet ! ! fino je , 6 zvijezda , stalno narucujem , al ako jos jednom stavite jedno manje . . c c c c : D"
1,"Pohani sir korektan , bečki odličan ! Stiglo prije najavljenog vremena ( to cijenim kad je glad u pitanju ; )"
1,"Odlični gableci , svaka pohvala ."
1,svaka cast na sendvićima !
1,"Bigburger je apsolutno otkriće ! ! ! Preporučujem svima , odlični ste i samo tako nastavite !"
1,"Burrito je ukusan ali je premala količina da zamjeni cijeli obrok . Stoga , cijena za tu količinu je previsoka ."
0,"Sada ja naručim i nazovu me ljubazno da ne voze u moj dio grada , voze ali min . narudžba je 100 kuna . Nalazim se 500 metara od Britanskog trga i tu mi piše 30.00 kuna min narudžba . Ako britanski trg 2 tramvajske stancie nije centar grada onda što je ? ? manduševac ? Potpouno Vase ne razumijem , ne kužim kako mislite opstati u ovo doba ? jer na poslu stalno naručujemo i evo prvi puta naručim od doma i žena mi kaže da nisam u centru grada . . . Izgubili ste dobru mušteriju , a sumljam da če itko sa posla više naručivati pored ovakve ponude . . pa živite od studenata . . Lp"
1,"Vege hop je malo skup restoran , ali vjerodostojno ima ekskluzivu sto se tice tipa kuhinje , namirnica i slicno . Dostava je doletjela brze od mog ocekivanja , a dnevna tempura je super prilog ."
1,Odlična hrana .
1,daleko najbolja dostava kineske hrane na pauzi.hr
1,Odličan kebab i vrlo ljubazno osoblje .
1,"Dva puta smo naručivali ovih dana i vrlo smo zadovoljni hranom . Ukusno i dostava na vrijeme . Eto , sve o.k . !"
0,"kašnjenje15 - 20 min , žilave i bezukusne lignje na žaru . : ("
1,"Good pizza , good variety , open late"
1,"Dajem svih 6 zvjezdica jer smo prezadovoljni uvijek n avrijem , hrana topla i jako ukusna . . . sta god smo do sad narucili nismo se razocarali bilo slano ili slatko , naravno slatko se mora izdvojiti jer u palacinkama ne stede na punjenju . . . samo tako vi ste nam top 1 uvijek za naruđbu ! !"
1,"Toplo i na vrijeme , ukusni cevapi i lepinja : ) Ja ne kužim što ljudi ocekuju za 18.00 kuna da dobe 10 cevapa od 10cm i lepinju od promjera pola metra ? ? ? Imate iste stvari samo za pomfrijem za 35.00 kuna ! ! Ljudi ovo su pravi cevai u somunu , simbol placa : ) ) )"
0,Katastrofa1 . liku je trebalo sat i pol da dostavi 2 sendvica . . . wtf2 . narucio sam bez ikakvih priloga stavio mi je sve3 . sendvici su imali doslovno tri snite mesa - sto je za onaj sa sunkom bilo ok al onaj s kulenom puuuuuuno premalo - brijem da zato i jesu stavili sve priloge da se ne bi vidlo kolko malo mesa stave sve u svemu nikad više
1,Previše luka u tortillama . . Ali svaka čast na brzoj dostavi .
0,"piletina s mlincima čista prevara . batak veličine žabljeg . sve to za 40kn . a još k tome pečena paprika iz tegle K plus za 15kn . znam da je kriza , al varat narod . . . uglavnom šteta što nema manje ocjene"
1,"Danas smo ponovo naručili iz ovog restorana TOSTADA EL GAUCHO . . . zaista super , superukusno : ) . Samo tako nastavite , jako volimo meksičku hranu pa otprilike svakog drugog dana naručujemo iz drugog restorana ."
1,"pisalo je 40 min za isporuku . . . hrana dosla za 25 . . . super ! ! ! ! hrane stvarno ima u izobilju . . . . narucili smo tri vrste mesa sa rizom i osam cuda , cips od jastoga , spring rolls . . . . jedina je steta sto nismo narucili dodatnu rizu za osam cuda . . . . hrana je spicy . . . to bi trebalo naglasit u jelovniku . . . nista strasno , reda radi . . . . inace jeo sam kinesku hranu od cijele kine pa do amerike . . . iako necete vjerovat najbolji restoran je na bahamima u Nassau . . . zove se VIP . . . . nenadmasiv . . . . i usporedujuci . . . stvarno se vidi da se trude u kung foodu da naprave dobro jelo . . . . za sada sve 5 . . do sljedece narudzbe"
0,daleko najlošije lasagne ( bolognese ) koje sam probao.prvi put da mi je iskreno žao para
1,"Danas prvi put naručio , hrana dostavljena u minut točno , sve toplo , domaći kruh , jako lijepo zapakirano , ukusno , a najviše od svega mi se sviđa ponuda jela za koja je zaista impresivna . Definitivno odskaču od ostatka restorana i cateringa . Maksimalna ocjena . Zahvaljujem se na svemu ."
