2014-09-26 07:48:30	positive	emilengeset	Ekstra stolt av å jobbe for @hoyre når vi får så tydelige bevis for hvilken fantastisk statsminister vi har! http://t.co/kSuR1oosQt
2014-09-26 07:35:25	neutral	Hoyre	.@erna_solberg talte om jenter og utdanning i FN, trakk fram Malalas modige kamp. Her kan du se hele talen http://t.co/jvqGgZWpBf @NRKno
2014-09-26 07:29:07	neutral	estermoe	Viss Russland-kritikken @erna_solberg framførte i FN var skjult, korleis i hulaste har den då hamna på framsida av VG i dag?
2014-09-26 07:12:42	neutral	sarpemor	@borgebrende @Hoyre @erna_solberg Hvem skal gjøre møkkajobbene da?
2014-09-26 07:11:30	neutral	Andersrom	Jeg tipper lite på fredsprisen, men Malala har gått i kryssilden for en sterk sak. Nevnt i FN i går av @erna_solberg http://t.co/aFn33vru7X
2014-09-26 07:03:47	neutral	UsmanBaghi	@erna_solberg og minoritetenes rettigheter
2014-09-26 06:45:20	neutral	DN_no	Rettighetshaver steilet da hun så hva som var bak Erna Solberg http://t.co/GNswTXm8cf
2014-09-26 05:46:04	neutral	JeanetteFj	Statsministerens tale i FNs Hovedforsamling. "Erna Solberg kritiserte Russland" http://t.co/eHSjWXVB4v
2014-09-25 22:48:45	positive	Kaldhussaeter	@erna_solberg  Hyggelig å hilse på deg før talen din på CU i dag. Flott tale! Har du tid burde du besøke den norske sjømannskirken
2014-09-25 22:29:38	neutral	ZahoorLive	@Regjeringen Fikk @erna_solberg tatt opp menneskerettigheter? PK's situasjon blir ikke bedre før staten &amp; religion skilles! #SecondAmendment
2014-09-25 22:01:10	neutral	robintjalala	@DagensMedisin Bedre å donere 2 milliarder til regnskogen i Peru! @erna_solberg @Siv_Jensen_FrP @KimChristineHol
2014-09-24 11:05:29	negative	orjanoi	@erna_solberg @Siv_Jensen_FrP @jensstoltenberg @jonasgahrstore: Skremmende at regjeringen vil selge aksjer i statlige selskap til utlandet.
2014-09-24 08:39:46	neutral	DevelopmentFund	.@Regjeringen og @erna_solberg vil bevare regnskog. Da burde dere begrense soyaimporten. http://t.co/kRv3NeNUWT
2014-09-24 07:16:21	neutral	Statsmin_kontor	Statsminister @erna_solberg gratulerer i anledning Rosh Hashana: http://t.co/6jP17yRIuF
