2014-09-28 20:00:14	positive	JurgMyr	Rosenborg - Aalesund 3-0 , gratulerer troillonga! #cmore12rbk #den12mann
2014-09-28 18:40:33	negative	kkhassel	Kåre må nok ta fram spanskrøret i pausen... #rosenborg
2014-09-28 18:37:21	neutral	elvisdimera78	Fått inn han Islendingen Rosenborg no så da vinner vel Ålesund 5-1 da.. @RBKfotball
2014-09-28 18:28:42	neutral	MarianneReitan	Når Rosenborg spille og du e på andre sida av jordkloden http://t.co/eD6pjja306
2014-09-28 18:12:20	positive	Pettigoal	Når Rosenborg-supporterne begynner å plystre, da er det fest på Lerkendal! #2fx #RBKAaFK
2014-09-28 18:09:03	neutral	FCHANDSOME	#Soccer #Livescore ScoresPro: (NOR-TIP) Rosenborg vs Aalesund: 1-0  Goal for Rosenborg
2014-09-28 17:00:44	neutral	BergStig	Følg Rosenborg - Aalesund og chat med vår reporter -adressa.no http://t.co/KFWzgNv7dc #den12mann
2014-09-28 16:49:48	neutral	RBKfotball	Malec debuterer fra start: Den slovakiske tometerspissen starter for Rosenborg mot Aalesund. Se hel... http://t.co/Rtk10JTal9 #rosenborg
2014-09-28 16:27:01	positive	rosenborgnews	Rosenborg mot Ålesund. Trondheim mot Ålesund. Trøndelag mot Sunnmøre. Lerkendal stadion i kveld kl 20.00. Kom på kamp og støtt RBK! #kjernen
2014-09-28 16:26:41	neutral	BergStig	Bør Sørloth eller Malec starte på topp for Rosenborg? -adressa.no http://t.co/nvEz8kUCdk #den12mann
2014-09-28 20:08:10	positive	viimsa	Fornøyd trønder! ❤️ #troillongan #RBK #Rosenborg #tippeliga #heiafotball #trøndelagsstolthet
2014-09-28 20:06:22	positive	Ivaraal	3 mål, tidvis fantastisk fotball, tidenes yngste Rosenborg-spiller og slovakisk flagg på tribuna. Godkjent kveld!
2014-09-28 20:03:37	negative	BoltonMateo	Kvar gang rosenbasj vinner, uansett motstand, er det en sterk prestasjon. Andre lag vinner liksom normalt, eller med flaks... TV2 Rosenborg
2014-09-28 16:07:59	positive	rosenborgnews	Ingen grunn til å ikke komme på kamp i kveld! Kom og støtt Rosenborg i kampen om medaljer. #rosenborg
2014-09-28 15:50:41	neutral	0yvindsj	I dag er @jklem77 Drillos makker i boksen, så det må bli enkel geoquiz: Høyeste fjell i Sør-Afrika? Rosenborg-AaFK på Zebra kl. 2000!
2014-09-28 15:32:45	neutral	Stenumgard	Fint om noen kan komme hit med øl og pizza til Rosenborg - Aalesund begynner. #2fx
